SMILES,SA,LogP,MW,NumHeavyAtoms,lowest_mode1_affinity,pareto_rank
C#CC(N)c1c(O)c2ccc(O[C@@H]3OC(C)(C)[C@H](OC)[C@@H](OC(=O)c4ccc(C)[nH]4)[C@H]3O)c(C)c2oc1=O,4.74713149953154,2.19174,526.5420000000003,38,-7.8,1
CCCNc1c(O)c2ccc(O[C@@H]3OC(C)(C)[C@H](OC)[C@@H](OC(=O)c4ccc(C)[nH]4)[C@H]3O)c(C)c2oc1=O,4.391832895967465,3.3806400000000014,530.5740000000003,38,-6.8,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C(N)(C(N)=O)C(N)=O)c(=O)oc3c2C)OC1(C)C,4.779730571070688,-0.3166599999999977,588.5700000000003,42,-6.3,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC4CC4)c(=O)oc3c2C)OC1(C)C,4.404078753955631,3.133040000000001,528.5580000000003,38,-7.1,1
C=CCNc1c(O)c2ccc(O[C@@H]3OC(C)(C)[C@H](OC)[C@@H](OC(=O)c4ccc(C)[nH]4)[C@H]3O)c(C)c2oc1=O,4.507237925553263,3.156640000000001,528.5580000000002,38,-7.1,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)[C@@H](C)N)c(=O)oc3c2C)OC1(C)C,4.537831959689111,1.84444,559.5720000000002,40,-7.0,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(OC[C@H](O)CN)c(=O)oc3c2C)OC1(C)C,4.599122079660882,1.2571399999999997,562.5720000000002,40,-7.2,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C(N)CO)c(=O)oc3c2C)OC1(C)C,4.593167645909434,1.5508399999999998,532.5460000000003,38,-7.0,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(OCCN)c(=O)oc3c2C)OC1(C)C,4.399392363423086,1.89624,532.5460000000004,38,-7.9,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NCc4ccccc4)c(=O)oc3c2C)OC1(C)C,4.295980137850062,4.170840000000003,578.6180000000002,42,-8.2,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C[C@@H](N)C(N)=O)c(=O)oc3c2C)OC1(C)C,4.613256318663469,0.9138400000000004,559.5720000000002,40,-6.8,1
