SMILES,SA,LogP,MW,NumHeavyAtoms,lowest_mode1_affinity,pareto_rank
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)CCCl)c(=O)oc3c2C)OC1(C)C,4.4245848850628295,3.1261400000000013,579.0020000000003,40,-8.0,1
COC(=O)c1ccc(-c2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](OC(=O)c5ccc(C)[nH]5)[C@H]4O)c(C)c3oc2=O)nc1N,4.515447204075308,2.98954,623.6150000000001,45,-9.3,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NCC(=O)N4CCCC4)c(=O)oc3c2C)OC1(C)C,4.453700054946136,2.59304,599.6370000000003,43,-8.5,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NCCN4CCC(C(N)=O)CC4)c(=O)oc3c2C)OC1(C)C,4.521832769378289,2.16794,642.7060000000002,46,-9.1,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(Cc4ccc(N)cc4)c(=O)oc3c2C)OC1(C)C,4.345199001347309,3.731740000000002,578.6180000000003,42,-7.7,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CCn4c(N)n[nH]c4=O)c(=O)oc3c2C)OC1(C)C,4.666635560517335,1.2684399999999991,599.5970000000002,43,-8.2,1
CNC(=O)c1ccc(-c2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](OC(=O)c5ccc(C)[nH]5)[C@H]4O)c(C)c3oc2=O)nc1N,4.533989793193506,2.56254,622.6310000000001,45,-9.5,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4cc(N)nc(O)c4)c(=O)oc3c2C)OC1(C)C,4.626960935380291,2.908540000000001,581.5780000000002,42,-9.0,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ccc(C)c(N)c4)c(=O)oc3c2C)OC1(C)C,4.403598393574271,4.116360000000002,578.6180000000003,42,-9.1,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(N[C@H]4COC[C@H]4O)c(=O)oc3c2C)OC1(C)C,4.852726638717892,1.730339999999999,574.5830000000002,41,-8.3,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C4CC4N)c(=O)oc3c2C)OC1(C)C,4.717053342679528,2.37334,528.5580000000003,38,-7.5,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CNC(=O)COc4ccc(N)cc4)c(=O)oc3c2C)OC1(C)C,4.418281521541273,2.836140000000001,651.6690000000002,47,-8.8,1
