Step,SMILES,HasSubstructure,LogP,NumHeavyAtoms,MW,SA,Score,Penalized Score,lowest_mode1_affinity,pareto_rank
26,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NCCO)c(=O)oc3c2C)OC1(C)C,True,1.96294,38.0,532.5460000000003,4.434023724369832,0.6041527866110621,0.6041527866110621,-6.5,1
41,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NCc4ccccc4)c(=O)oc3c2C)OC1(C)C,True,4.170840000000003,42.0,578.6180000000002,4.295980137850062,0.6255997987488877,0.6255997987488877,-8.2,1
41,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(N)c(=O)oc3c2C)OC1(C)C,True,2.14094,35.0,488.4930000000003,4.386392044501547,0.6391531337169836,0.6391531337169836,-7.6,1
67,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NCCNC(=O)CN)c(=O)oc3c2C)OC1(C)C,True,1.0455400000000008,42.0,588.6140000000003,4.505627691233133,0.5374846729907586,0.5374846729907586,-7.4,1
70,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(S(=O)(=O)NCCNC(=O)[C@@H](O)CN)c(=O)oc3c2C)OC1(C)C,True,-0.7271599999999963,47.0,682.7049999999999,4.837569978422572,0.425629758055256,0.425629758055256,-7.7,1
74,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CC(N)CO)c(=O)oc3c2C)OC1(C)C,True,1.4208399999999994,39.0,546.5730000000003,4.623086857088086,0.569450224037498,0.569450224037498,-7.4,1
75,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NCC(O)O)c(=O)oc3c2C)OC1(C)C,True,1.28134,39.0,548.5450000000002,4.57166783135596,0.5823712450850312,0.5823712450850312,-7.3,1
82,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ccc(Cc5ccccc5)cc4)c(=O)oc3c2C)OC1(C)C,True,5.816540000000006,47.0,639.7010000000001,4.286392355322876,0.4815435015350761,0.4815435015350761,-7.9,1
82,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CNC(=O)CCNC(=O)CN)c(=O)oc3c2C)OC1(C)C,True,0.6399400000000013,45.0,630.6510000000002,4.484991294131593,0.4864653359840571,0.4864653359840571,-7.6,1
114,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(C)=O)c(=O)oc3c2C)OC1(C)C,True,2.5171400000000004,38.0,530.5300000000003,4.352192567364029,0.6188270288806896,0.6188270288806896,-8.0,1
