Step,SMILES,HasSubstructure,LogP,NumHeavyAtoms,MW,SA,Score,Penalized Score,lowest_mode1_affinity,pareto_rank
3,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CNC(=O)c4ccc(N)c(O)c4)c(=O)oc3c2C)OC1(C)C,True,2.7765400000000007,46.0,637.6420000000002,4.485199620637266,0.6768086493074537,0.6768086493074537,-8.8,1
5,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ccc(C(=O)NCC#N)cc4)c(=O)oc3c2C)OC1(C)C,True,3.4791200000000018,46.0,631.6380000000001,4.450866324799245,0.6180880096256683,0.6180880096256683,-9.6,1
8,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)Nc4cccc(C)c4C)c(=O)oc3c2C)OC1(C)C,True,4.819580000000003,46.0,635.6700000000001,4.397917203054848,0.5139158368734381,0.5139158368734381,-9.5,1
12,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ccc5c(=O)[nH]c(=O)[nH]c(=O)c5c4)c(=O)oc3c2C)OC1(C)C,True,2.11574,48.0,661.6200000000001,4.589997453289156,0.4543897665005255,0.4543897665005255,-9.4,1
13,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ccccc4O)c(=O)oc3c2C)OC1(C)C,True,3.9313400000000014,41.0,565.5750000000002,4.340411986185872,0.6485220498641181,0.6485220498641181,-8.7,1
18,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4[nH]c(=O)c(=O)[nH]c4O)c(=O)oc3c2C)OC1(C)C,True,1.3079399999999994,43.0,599.5490000000001,4.699983770325778,0.5147488052392972,0.5147488052392972,-9.0,1
19,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4cc(O)ccc4O)c(=O)oc3c2C)OC1(C)C,True,3.636940000000002,42.0,581.5740000000002,4.4345018049455085,0.6621382390539685,0.6621382390539685,-8.9,1
26,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NCCO)c(=O)oc3c2C)OC1(C)C,True,1.96294,38.0,532.5460000000003,4.434023724369832,0.6041527866110621,0.6041527866110621,-6.5,1
26,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CNC(=O)c4c(O)nc(N)[nH]c4=O)c(=O)oc3c2C)OC1(C)C,True,0.8598399999999994,47.0,655.6170000000001,4.726118666511688,0.4520939511802364,0.4520939511802364,-8.5,1
28,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CNC(=O)c4ccc(N)cc4)c(=O)oc3c2C)OC1(C)C,True,3.070940000000001,45.0,621.6430000000001,4.369689191002622,0.6653000526399717,0.6653000526399717,-8.6,1
31,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CCNC(=O)c4ccc(N)c(C)c4)c(=O)oc3c2C)OC1(C)C,True,3.4218600000000023,47.0,649.6970000000002,4.4613443149911145,0.6073646281469387,0.6073646281469387,-9.1,1
