Step,SMILES,HasSubstructure,LogP,NumHeavyAtoms,MW,SA,Similarity,DockingAffinity,DockScore,Score,PenalizedScore,lowest_mode1_affinity,pareto_rank
9,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C4(O)COC4N)c(=O)oc3c2C)OC1(C)C,True,1.061339999999999,40.0,560.5560000000003,5.043137747448647,0.59,-8.3,0.5375000000000001,0.5375000000000001,0.5375000000000001,-8.3,1
13,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4cccc(N)c4)c(=O)oc3c2C)OC1(C)C,True,3.3932400000000014,44.0,607.6160000000001,4.368359895478509,0.7553191489361702,-7.8,0.475,0.475,0.475,-8.0,1
14,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4cc(N)cc(C)c4C)c(=O)oc3c2C)OC1(C)C,True,4.010080000000003,46.0,635.6700000000002,4.511792279977926,0.7263157894736842,-9.5,0.6875,0.6875,0.6875,-9.5,1
14,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4cc(N)cc5c4C(=O)N5)c(=O)oc3c2C)OC1(C)C,True,3.3736400000000017,44.0,605.6000000000001,4.663339043603111,0.5825242718446602,-9.3,0.6625000000000001,0.6625000000000001,0.6625000000000001,-9.3,1
17,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(Nc4cc(C)cc(S(N)(=O)=O)c4)c(=O)oc3c2C)OC1(C)C,True,3.258160000000002,46.0,657.6980000000001,4.548061449208694,0.6372549019607843,-9.4,0.675,0.675,0.675,-9.4,1
22,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C(N)C(O)CO)c(=O)oc3c2C)OC1(C)C,True,0.91174,40.0,562.5720000000002,4.8144762325109856,0.6060606060606061,-7.4,0.425,0.425,0.425,-7.4,1
25,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C4(O)CCC(N)C4)c(=O)oc3c2C)OC1(C)C,True,2.2575400000000005,41.0,572.6110000000003,4.919086934837701,0.5784313725490197,-8.7,0.5874999999999999,0.5874999999999999,0.5874999999999999,-8.7,1
27,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NCc4ccc5ccccc5c4C)c(=O)oc3c2C)OC1(C)C,True,5.632460000000005,47.0,642.7050000000002,4.485516574615034,0.6336633663366337,-9.6,0.7,0.7,0.7,-9.7,1
27,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(Nc4ccc5c(C)cccc5c4)c(=O)oc3c2C)OC1(C)C,True,5.763960000000005,46.0,628.6780000000001,4.442167804016387,0.6336633663366337,-9.44,0.6800000000000002,0.6800000000000002,0.6800000000000002,-9.6,1
27,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NCc4ccc5c(=O)[nH]ccc5c4C)c(=O)oc3c2C)OC1(C)C,True,4.320760000000003,48.0,659.6920000000001,4.664977546879775,0.6274509803921569,-9.6,0.7,0.7,0.7,-9.8,1
